Density profile based on an MSIS profile.
This profile is just meant as an example for the conceptual model.
It has no further scientific meaning.
The molekular density is given in 1/cm^3 and the altitude in km.

idx;altitude;density
0;0.0;2.57587e+19
1;0.2;2.51944e+19
2;0.4;2.46432e+19
3;0.6;2.41062e+19
4;0.8;2.35934e+19
5;1.0;2.30947e+19
6;1.2;2.26082e+19
7;1.4;2.21358e+19
8;1.6;2.16856e+19
9;1.8;2.12384e+19
10;2.0;2.08044e+19
11;2.2;2.03825e+19
12;2.4;1.99726e+19
13;2.6;1.95749e+19
14;2.8;1.91792e+19
15;3.0;1.87946e+19
16;3.2;1.84231e+19
17;3.4;1.8052699999999998e+19
18;3.6;1.76933e+19
19;3.8;1.7346e+19
20;4.0;1.70008e+19
21;4.2;1.66556e+19
22;4.4;1.63225e+19
23;4.6;1.59904e+19
24;4.8;1.56694e+19
25;5.0;1.53494e+19
26;5.2;1.50304e+19
27;5.4;1.47225e+19
28;5.6;1.44157e+19
29;5.8;1.41089e+19
30;6.0;1.38141e+19
31;6.2;1.35193e+19
32;6.4;1.32256e+19
33;6.6;1.29429e+19
34;6.8;1.26613e+19
35;7.0;1.23827e+19
36;7.2;1.21071e+19
37;7.4;1.18346e+19
38;7.6;1.15661e+19
39;7.8;1.13006e+19
40;8.0;1.10381e+19
41;8.2;1.07807e+19
42;8.4;1.052534e+19
43;8.6;1.027399e+19
44;8.8;1.002567e+19
45;9.0;9.78138e+18
46;9.2;9.53913e+18
47;9.4;9.3009e+18
48;9.6;9.06671e+18
49;9.8;8.83655e+18
50;10.0;8.60843e+18
51;10.2;8.38433e+18
52;10.4;8.16428e+18
53;10.6;7.94625e+18
54;10.8;7.73426e+18
55;11.0;7.52531e+18
56;11.2;7.32039e+18
57;11.4;7.11951e+18
58;11.6;6.92167e+18
59;11.8;6.72887e+18
60;12.0;6.5391e+18
61;12.2;6.35538e+18
62;12.4;6.17469e+18
63;12.6;5.99804e+18
64;12.8;5.82543e+18
65;13.0;5.65585e+18
66;13.2;5.49231e+18
67;13.4;5.33182e+18
68;13.6;5.17435e+18
69;13.8;5.02193e+18
70;14.0;4.87354e+18
71;14.2;4.72919e+18
72;14.4;4.58827e+18
73;14.6;4.45118e+18
74;14.8;4.31694e+18
75;15.0;4.18752e+18
76;15.2;4.06084e+18
77;15.4;3.93789e+18
78;15.6;3.81777e+18
79;15.8;3.70229e+18
80;16.0;3.58863e+18
81;16.2;3.47961e+18
82;16.4;3.37331e+18
83;16.6;3.26965e+18
84;16.8;3.16871e+18
85;17.0;3.0713e+18
