Temperature profile based on lidar measurments. Its an anual mean.
This profile is just meant as an example for the conceptual model.
It has no further scientific meaning.
The temperature is given in Kelvin and the altitude in km.

idx;altitude;temperature
0;104.0;173.85
1;102.0;172.18611111111107
2;100.0;173.36388888888888
3;98.0;174.15555555555554
4;96.0;174.86944444444444
5;94.0;175.76111111111112
6;92.0;176.9416666666667
7;90.0;178.05277777777778
8;88.0;178.23611111111111
9;86.0;179.22777777777776
10;84.0;183.84444444444446
11;82.0;189.67777777777775
12;80.0;194.68611111111113
13;78.0;198.43055555555554
14;76.0;202.59444444444443
15;74.0;207.48888888888894
16;72.0;212.7138888888889
17;70.0;217.92777777777778
18;68.0;223.1
19;66.0;228.5888888888889
20;64.0;234.21666666666664
21;62.0;239.61666666666665
22;60.0;244.97222222222217
23;58.0;250.03333333333336
24;56.0;254.46666666666664
25;54.0;258.475
26;52.0;261.7611111111112
27;50.0;264.12777777777774
28;48.0;265.3722222222222
29;46.0;264.5777777777778
30;44.0;262.54166666666674
31;42.0;258.3666666666666
32;40.0;252.5027777777778
33;38.0;246.02499999999998
34;36.0;239.25833333333335
35;34.0;232.4138888888889
36;32.0;226.0583333333333
37;30.0;221.8861111111111
38;28.0;218.9
39;26.0;217.06944444444446
40;24.0;216.33055555555555
41;22.0;216.4138888888889
42;20.0;217.025
43;18.0;216.95277777777778
44;16.0;217.1833333333333
45;14.0;217.35
46;12.0;217.11111111111114
47;10.0;222.61666666666667
48;8.0;236.25833333333333
49;6.0;251.43611111111107
50;4.0;264.65555555555557
51;2.0;276.1166666666667
